Instance ID,Parse,LOC,AST Nodes,Functions,Recursive Functions,Loops,Max Loop Nesting,If Branches,Comprehensions,Sort Operations,range Calls,Calls Inside Loops,Allocations,Imports,Neutral E2 Evidence Text
ADSO_TEST_001,OK,20,178,0,0,4,3,2,0,0,1,11,6,1,Deterministic Python AST facts: parse=OK; executable_LOC=20; AST_nodes=178; functions=0; recursive_functions=0; loops=4; max_loop_nesting=3; if_branches=2; comprehensions=0; sort_operations=0; range_calls=1; calls_inside_loops=11; allocations=6; imports=1. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_012,OK,18,186,1,0,2,1,1,0,1,1,10,7,2,Deterministic Python AST facts: parse=OK; executable_LOC=18; AST_nodes=186; functions=1; recursive_functions=0; loops=2; max_loop_nesting=1; if_branches=1; comprehensions=0; sort_operations=1; range_calls=1; calls_inside_loops=10; allocations=7; imports=2. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_013,OK,38,300,0,0,2,2,6,0,0,2,9,0,0,Deterministic Python AST facts: parse=OK; executable_LOC=38; AST_nodes=300; functions=0; recursive_functions=0; loops=2; max_loop_nesting=2; if_branches=6; comprehensions=0; sort_operations=0; range_calls=2; calls_inside_loops=9; allocations=0; imports=0. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_014,OK,10,98,0,0,2,2,0,0,0,1,12,1,1,Deterministic Python AST facts: parse=OK; executable_LOC=10; AST_nodes=98; functions=0; recursive_functions=0; loops=2; max_loop_nesting=2; if_branches=0; comprehensions=0; sort_operations=0; range_calls=1; calls_inside_loops=12; allocations=1; imports=1. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_015,OK,15,95,2,0,1,1,0,1,0,1,12,0,3,Deterministic Python AST facts: parse=OK; executable_LOC=15; AST_nodes=95; functions=2; recursive_functions=0; loops=1; max_loop_nesting=1; if_branches=0; comprehensions=1; sort_operations=0; range_calls=1; calls_inside_loops=12; allocations=0; imports=3. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_016,OK,24,183,0,0,4,2,2,0,0,4,14,1,0,Deterministic Python AST facts: parse=OK; executable_LOC=24; AST_nodes=183; functions=0; recursive_functions=0; loops=4; max_loop_nesting=2; if_branches=2; comprehensions=0; sort_operations=0; range_calls=4; calls_inside_loops=14; allocations=1; imports=0. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_017,OK,10,79,0,0,2,2,1,0,0,1,5,0,0,Deterministic Python AST facts: parse=OK; executable_LOC=10; AST_nodes=79; functions=0; recursive_functions=0; loops=2; max_loop_nesting=2; if_branches=1; comprehensions=0; sort_operations=0; range_calls=1; calls_inside_loops=5; allocations=0; imports=0. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_018,OK,28,248,1,0,2,1,2,0,2,1,13,1,4,Deterministic Python AST facts: parse=OK; executable_LOC=28; AST_nodes=248; functions=1; recursive_functions=0; loops=2; max_loop_nesting=1; if_branches=2; comprehensions=0; sort_operations=2; range_calls=1; calls_inside_loops=13; allocations=1; imports=4. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_019,OK,24,138,1,0,2,1,1,0,0,2,6,0,3,Deterministic Python AST facts: parse=OK; executable_LOC=24; AST_nodes=138; functions=1; recursive_functions=0; loops=2; max_loop_nesting=1; if_branches=1; comprehensions=0; sort_operations=0; range_calls=2; calls_inside_loops=6; allocations=0; imports=3. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_020,OK,16,133,0,0,2,2,3,0,0,2,14,0,1,Deterministic Python AST facts: parse=OK; executable_LOC=16; AST_nodes=133; functions=0; recursive_functions=0; loops=2; max_loop_nesting=2; if_branches=3; comprehensions=0; sort_operations=0; range_calls=2; calls_inside_loops=14; allocations=0; imports=1. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_021,OK,29,229,1,0,3,2,3,0,2,2,14,1,2,Deterministic Python AST facts: parse=OK; executable_LOC=29; AST_nodes=229; functions=1; recursive_functions=0; loops=3; max_loop_nesting=2; if_branches=3; comprehensions=0; sort_operations=2; range_calls=2; calls_inside_loops=14; allocations=1; imports=2. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_022,OK,24,209,0,0,3,2,3,0,0,1,5,2,0,Deterministic Python AST facts: parse=OK; executable_LOC=24; AST_nodes=209; functions=0; recursive_functions=0; loops=3; max_loop_nesting=2; if_branches=3; comprehensions=0; sort_operations=0; range_calls=1; calls_inside_loops=5; allocations=2; imports=0. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_023,OK,18,168,0,0,3,3,1,0,1,2,20,2,2,Deterministic Python AST facts: parse=OK; executable_LOC=18; AST_nodes=168; functions=0; recursive_functions=0; loops=3; max_loop_nesting=3; if_branches=1; comprehensions=0; sort_operations=1; range_calls=2; calls_inside_loops=20; allocations=2; imports=2. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_024,OK,12,161,0,0,2,2,2,1,0,2,14,4,0,Deterministic Python AST facts: parse=OK; executable_LOC=12; AST_nodes=161; functions=0; recursive_functions=0; loops=2; max_loop_nesting=2; if_branches=2; comprehensions=1; sort_operations=0; range_calls=2; calls_inside_loops=14; allocations=4; imports=0. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_025,OK,14,137,0,0,2,2,1,0,0,1,11,0,0,Deterministic Python AST facts: parse=OK; executable_LOC=14; AST_nodes=137; functions=0; recursive_functions=0; loops=2; max_loop_nesting=2; if_branches=1; comprehensions=0; sort_operations=0; range_calls=1; calls_inside_loops=11; allocations=0; imports=0. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_026,OK,45,267,5,0,5,1,2,0,1,2,6,3,6,Deterministic Python AST facts: parse=OK; executable_LOC=45; AST_nodes=267; functions=5; recursive_functions=0; loops=5; max_loop_nesting=1; if_branches=2; comprehensions=0; sort_operations=1; range_calls=2; calls_inside_loops=6; allocations=3; imports=6. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_027,OK,37,361,0,0,4,2,5,0,1,2,43,5,0,Deterministic Python AST facts: parse=OK; executable_LOC=37; AST_nodes=361; functions=0; recursive_functions=0; loops=4; max_loop_nesting=2; if_branches=5; comprehensions=0; sort_operations=1; range_calls=2; calls_inside_loops=43; allocations=5; imports=0. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_028,OK,18,121,1,0,3,1,0,0,1,1,9,2,0,Deterministic Python AST facts: parse=OK; executable_LOC=18; AST_nodes=121; functions=1; recursive_functions=0; loops=3; max_loop_nesting=1; if_branches=0; comprehensions=0; sort_operations=1; range_calls=1; calls_inside_loops=9; allocations=2; imports=0. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_029,OK,7,111,0,0,1,1,0,2,0,2,13,1,0,Deterministic Python AST facts: parse=OK; executable_LOC=7; AST_nodes=111; functions=0; recursive_functions=0; loops=1; max_loop_nesting=1; if_branches=0; comprehensions=2; sort_operations=0; range_calls=2; calls_inside_loops=13; allocations=1; imports=0. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_030,OK,2,24,0,0,1,1,0,0,0,0,2,1,0,Deterministic Python AST facts: parse=OK; executable_LOC=2; AST_nodes=24; functions=0; recursive_functions=0; loops=1; max_loop_nesting=1; if_branches=0; comprehensions=0; sort_operations=0; range_calls=0; calls_inside_loops=2; allocations=1; imports=0. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_031,OK,21,214,1,0,4,2,3,0,0,4,10,3,0,Deterministic Python AST facts: parse=OK; executable_LOC=21; AST_nodes=214; functions=1; recursive_functions=0; loops=4; max_loop_nesting=2; if_branches=3; comprehensions=0; sort_operations=0; range_calls=4; calls_inside_loops=10; allocations=3; imports=0. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_032,OK,20,239,1,0,3,1,1,3,0,2,14,4,0,Deterministic Python AST facts: parse=OK; executable_LOC=20; AST_nodes=239; functions=1; recursive_functions=0; loops=3; max_loop_nesting=1; if_branches=1; comprehensions=3; sort_operations=0; range_calls=2; calls_inside_loops=14; allocations=4; imports=0. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_033,OK,14,129,0,0,1,1,3,0,0,0,7,1,0,Deterministic Python AST facts: parse=OK; executable_LOC=14; AST_nodes=129; functions=0; recursive_functions=0; loops=1; max_loop_nesting=1; if_branches=3; comprehensions=0; sort_operations=0; range_calls=0; calls_inside_loops=7; allocations=1; imports=0. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_034,OK,4,51,0,0,1,1,0,0,0,1,8,0,1,Deterministic Python AST facts: parse=OK; executable_LOC=4; AST_nodes=51; functions=0; recursive_functions=0; loops=1; max_loop_nesting=1; if_branches=0; comprehensions=0; sort_operations=0; range_calls=1; calls_inside_loops=8; allocations=0; imports=1. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_035,OK,17,211,0,0,4,2,0,0,0,3,13,6,1,Deterministic Python AST facts: parse=OK; executable_LOC=17; AST_nodes=211; functions=0; recursive_functions=0; loops=4; max_loop_nesting=2; if_branches=0; comprehensions=0; sort_operations=0; range_calls=3; calls_inside_loops=13; allocations=6; imports=1. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_036,OK,62,390,9,1,6,1,7,0,0,3,9,3,7,Deterministic Python AST facts: parse=OK; executable_LOC=62; AST_nodes=390; functions=9; recursive_functions=1; loops=6; max_loop_nesting=1; if_branches=7; comprehensions=0; sort_operations=0; range_calls=3; calls_inside_loops=9; allocations=3; imports=7. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_037,OK,15,189,0,0,2,2,1,0,0,1,12,1,0,Deterministic Python AST facts: parse=OK; executable_LOC=15; AST_nodes=189; functions=0; recursive_functions=0; loops=2; max_loop_nesting=2; if_branches=1; comprehensions=0; sort_operations=0; range_calls=1; calls_inside_loops=12; allocations=1; imports=0. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_038,OK,10,94,0,0,2,2,1,0,0,2,7,1,0,Deterministic Python AST facts: parse=OK; executable_LOC=10; AST_nodes=94; functions=0; recursive_functions=0; loops=2; max_loop_nesting=2; if_branches=1; comprehensions=0; sort_operations=0; range_calls=2; calls_inside_loops=7; allocations=1; imports=0. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_039,OK,9,82,1,0,2,1,1,0,0,2,9,0,0,Deterministic Python AST facts: parse=OK; executable_LOC=9; AST_nodes=82; functions=1; recursive_functions=0; loops=2; max_loop_nesting=1; if_branches=1; comprehensions=0; sort_operations=0; range_calls=2; calls_inside_loops=9; allocations=0; imports=0. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_040,OK,9,140,1,0,1,1,0,0,2,1,13,5,0,Deterministic Python AST facts: parse=OK; executable_LOC=9; AST_nodes=140; functions=1; recursive_functions=0; loops=1; max_loop_nesting=1; if_branches=0; comprehensions=0; sort_operations=2; range_calls=1; calls_inside_loops=13; allocations=5; imports=0. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_041,OK,2,39,0,0,1,1,0,0,0,0,4,1,0,Deterministic Python AST facts: parse=OK; executable_LOC=2; AST_nodes=39; functions=0; recursive_functions=0; loops=1; max_loop_nesting=1; if_branches=0; comprehensions=0; sort_operations=0; range_calls=0; calls_inside_loops=4; allocations=1; imports=0. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_042,OK,36,309,0,0,6,3,2,2,0,2,15,3,0,Deterministic Python AST facts: parse=OK; executable_LOC=36; AST_nodes=309; functions=0; recursive_functions=0; loops=6; max_loop_nesting=3; if_branches=2; comprehensions=2; sort_operations=0; range_calls=2; calls_inside_loops=15; allocations=3; imports=0. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_043,OK,6,50,0,0,1,1,0,0,0,1,3,0,0,Deterministic Python AST facts: parse=OK; executable_LOC=6; AST_nodes=50; functions=0; recursive_functions=0; loops=1; max_loop_nesting=1; if_branches=0; comprehensions=0; sort_operations=0; range_calls=1; calls_inside_loops=3; allocations=0; imports=0. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_044,OK,25,139,4,0,3,1,3,1,0,3,4,0,1,Deterministic Python AST facts: parse=OK; executable_LOC=25; AST_nodes=139; functions=4; recursive_functions=0; loops=3; max_loop_nesting=1; if_branches=3; comprehensions=1; sort_operations=0; range_calls=3; calls_inside_loops=4; allocations=0; imports=1. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_045,OK,29,270,2,0,3,2,1,0,0,1,14,2,1,Deterministic Python AST facts: parse=OK; executable_LOC=29; AST_nodes=270; functions=2; recursive_functions=0; loops=3; max_loop_nesting=2; if_branches=1; comprehensions=0; sort_operations=0; range_calls=1; calls_inside_loops=14; allocations=2; imports=1. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_046,OK,11,135,0,0,1,1,2,1,0,2,11,0,0,Deterministic Python AST facts: parse=OK; executable_LOC=11; AST_nodes=135; functions=0; recursive_functions=0; loops=1; max_loop_nesting=1; if_branches=2; comprehensions=1; sort_operations=0; range_calls=2; calls_inside_loops=11; allocations=0; imports=0. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_047,OK,40,321,3,0,5,1,1,0,0,3,17,2,4,Deterministic Python AST facts: parse=OK; executable_LOC=40; AST_nodes=321; functions=3; recursive_functions=0; loops=5; max_loop_nesting=1; if_branches=1; comprehensions=0; sort_operations=0; range_calls=3; calls_inside_loops=17; allocations=2; imports=4. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_048,OK,31,244,0,0,3,3,5,0,0,2,15,1,1,Deterministic Python AST facts: parse=OK; executable_LOC=31; AST_nodes=244; functions=0; recursive_functions=0; loops=3; max_loop_nesting=3; if_branches=5; comprehensions=0; sort_operations=0; range_calls=2; calls_inside_loops=15; allocations=1; imports=1. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_049,OK,11,99,1,0,2,1,0,0,0,2,14,0,0,Deterministic Python AST facts: parse=OK; executable_LOC=11; AST_nodes=99; functions=1; recursive_functions=0; loops=2; max_loop_nesting=1; if_branches=0; comprehensions=0; sort_operations=0; range_calls=2; calls_inside_loops=14; allocations=0; imports=0. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_050,OK,17,183,2,0,1,1,0,2,0,2,3,0,0,Deterministic Python AST facts: parse=OK; executable_LOC=17; AST_nodes=183; functions=2; recursive_functions=0; loops=1; max_loop_nesting=1; if_branches=0; comprehensions=2; sort_operations=0; range_calls=2; calls_inside_loops=3; allocations=0; imports=0. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_051,OK,58,403,10,1,6,1,3,0,0,3,11,1,7,Deterministic Python AST facts: parse=OK; executable_LOC=58; AST_nodes=403; functions=10; recursive_functions=1; loops=6; max_loop_nesting=1; if_branches=3; comprehensions=0; sort_operations=0; range_calls=3; calls_inside_loops=11; allocations=1; imports=7. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_052,OK,21,166,0,0,3,2,1,0,0,2,11,1,1,Deterministic Python AST facts: parse=OK; executable_LOC=21; AST_nodes=166; functions=0; recursive_functions=0; loops=3; max_loop_nesting=2; if_branches=1; comprehensions=0; sort_operations=0; range_calls=2; calls_inside_loops=11; allocations=1; imports=1. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_053,OK,50,362,2,0,6,3,7,1,0,3,22,1,1,Deterministic Python AST facts: parse=OK; executable_LOC=50; AST_nodes=362; functions=2; recursive_functions=0; loops=6; max_loop_nesting=3; if_branches=7; comprehensions=1; sort_operations=0; range_calls=3; calls_inside_loops=22; allocations=1; imports=1. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_054,OK,17,128,1,0,3,1,2,1,0,2,9,0,0,Deterministic Python AST facts: parse=OK; executable_LOC=17; AST_nodes=128; functions=1; recursive_functions=0; loops=3; max_loop_nesting=1; if_branches=2; comprehensions=1; sort_operations=0; range_calls=2; calls_inside_loops=9; allocations=0; imports=0. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_055,OK,16,212,0,0,3,2,1,0,0,3,14,5,0,Deterministic Python AST facts: parse=OK; executable_LOC=16; AST_nodes=212; functions=0; recursive_functions=0; loops=3; max_loop_nesting=2; if_branches=1; comprehensions=0; sort_operations=0; range_calls=3; calls_inside_loops=14; allocations=5; imports=0. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_056,OK,18,133,2,0,2,1,1,0,0,1,11,0,3,Deterministic Python AST facts: parse=OK; executable_LOC=18; AST_nodes=133; functions=2; recursive_functions=0; loops=2; max_loop_nesting=1; if_branches=1; comprehensions=0; sort_operations=0; range_calls=1; calls_inside_loops=11; allocations=0; imports=3. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_057,OK,13,97,1,0,3,2,0,0,0,3,8,0,1,Deterministic Python AST facts: parse=OK; executable_LOC=13; AST_nodes=97; functions=1; recursive_functions=0; loops=3; max_loop_nesting=2; if_branches=0; comprehensions=0; sort_operations=0; range_calls=3; calls_inside_loops=8; allocations=0; imports=1. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_058,OK,19,188,0,0,2,2,2,0,0,3,11,0,1,Deterministic Python AST facts: parse=OK; executable_LOC=19; AST_nodes=188; functions=0; recursive_functions=0; loops=2; max_loop_nesting=2; if_branches=2; comprehensions=0; sort_operations=0; range_calls=3; calls_inside_loops=11; allocations=0; imports=1. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_059,OK,30,253,0,0,3,2,2,0,0,3,8,6,10,Deterministic Python AST facts: parse=OK; executable_LOC=30; AST_nodes=253; functions=0; recursive_functions=0; loops=3; max_loop_nesting=2; if_branches=2; comprehensions=0; sort_operations=0; range_calls=3; calls_inside_loops=8; allocations=6; imports=10. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_060,OK,10,68,0,0,1,1,1,0,0,1,14,0,0,Deterministic Python AST facts: parse=OK; executable_LOC=10; AST_nodes=68; functions=0; recursive_functions=0; loops=1; max_loop_nesting=1; if_branches=1; comprehensions=0; sort_operations=0; range_calls=1; calls_inside_loops=14; allocations=0; imports=0. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_061,OK,26,210,0,0,3,2,1,1,0,2,10,4,7,Deterministic Python AST facts: parse=OK; executable_LOC=26; AST_nodes=210; functions=0; recursive_functions=0; loops=3; max_loop_nesting=2; if_branches=1; comprehensions=1; sort_operations=0; range_calls=2; calls_inside_loops=10; allocations=4; imports=7. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_062,OK,18,252,0,0,3,1,0,0,0,3,10,3,0,Deterministic Python AST facts: parse=OK; executable_LOC=18; AST_nodes=252; functions=0; recursive_functions=0; loops=3; max_loop_nesting=1; if_branches=0; comprehensions=0; sort_operations=0; range_calls=3; calls_inside_loops=10; allocations=3; imports=0. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_063,OK,19,194,0,0,2,2,2,1,0,2,11,1,1,Deterministic Python AST facts: parse=OK; executable_LOC=19; AST_nodes=194; functions=0; recursive_functions=0; loops=2; max_loop_nesting=2; if_branches=2; comprehensions=1; sort_operations=0; range_calls=2; calls_inside_loops=11; allocations=1; imports=1. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_064,OK,12,99,1,0,2,1,1,0,0,2,7,0,0,Deterministic Python AST facts: parse=OK; executable_LOC=12; AST_nodes=99; functions=1; recursive_functions=0; loops=2; max_loop_nesting=1; if_branches=1; comprehensions=0; sort_operations=0; range_calls=2; calls_inside_loops=7; allocations=0; imports=0. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_065,OK,5,76,0,0,1,1,0,0,1,1,10,0,0,Deterministic Python AST facts: parse=OK; executable_LOC=5; AST_nodes=76; functions=0; recursive_functions=0; loops=1; max_loop_nesting=1; if_branches=0; comprehensions=0; sort_operations=1; range_calls=1; calls_inside_loops=10; allocations=0; imports=0. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_066,OK,34,250,1,0,4,3,7,2,0,1,20,3,0,Deterministic Python AST facts: parse=OK; executable_LOC=34; AST_nodes=250; functions=1; recursive_functions=0; loops=4; max_loop_nesting=3; if_branches=7; comprehensions=2; sort_operations=0; range_calls=1; calls_inside_loops=20; allocations=3; imports=0. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_067,OK,16,139,1,0,2,1,0,1,0,1,9,1,0,Deterministic Python AST facts: parse=OK; executable_LOC=16; AST_nodes=139; functions=1; recursive_functions=0; loops=2; max_loop_nesting=1; if_branches=0; comprehensions=1; sort_operations=0; range_calls=1; calls_inside_loops=9; allocations=1; imports=0. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_068,OK,41,279,1,0,6,4,2,1,0,2,14,9,0,Deterministic Python AST facts: parse=OK; executable_LOC=41; AST_nodes=279; functions=1; recursive_functions=0; loops=6; max_loop_nesting=4; if_branches=2; comprehensions=1; sort_operations=0; range_calls=2; calls_inside_loops=14; allocations=9; imports=0. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_069,OK,47,440,0,0,3,2,10,0,2,2,26,2,0,Deterministic Python AST facts: parse=OK; executable_LOC=47; AST_nodes=440; functions=0; recursive_functions=0; loops=3; max_loop_nesting=2; if_branches=10; comprehensions=0; sort_operations=2; range_calls=2; calls_inside_loops=26; allocations=2; imports=0. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_070,OK,43,326,2,0,6,1,4,0,0,2,17,2,2,Deterministic Python AST facts: parse=OK; executable_LOC=43; AST_nodes=326; functions=2; recursive_functions=0; loops=6; max_loop_nesting=1; if_branches=4; comprehensions=0; sort_operations=0; range_calls=2; calls_inside_loops=17; allocations=2; imports=2. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_071,OK,23,195,0,0,3,3,2,2,0,1,12,1,0,Deterministic Python AST facts: parse=OK; executable_LOC=23; AST_nodes=195; functions=0; recursive_functions=0; loops=3; max_loop_nesting=3; if_branches=2; comprehensions=2; sort_operations=0; range_calls=1; calls_inside_loops=12; allocations=1; imports=0. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_072,OK,4,39,0,0,1,1,0,0,0,1,5,0,0,Deterministic Python AST facts: parse=OK; executable_LOC=4; AST_nodes=39; functions=0; recursive_functions=0; loops=1; max_loop_nesting=1; if_branches=0; comprehensions=0; sort_operations=0; range_calls=1; calls_inside_loops=5; allocations=0; imports=0. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_073,OK,13,146,0,0,1,1,2,0,0,1,11,2,1,Deterministic Python AST facts: parse=OK; executable_LOC=13; AST_nodes=146; functions=0; recursive_functions=0; loops=1; max_loop_nesting=1; if_branches=2; comprehensions=0; sort_operations=0; range_calls=1; calls_inside_loops=11; allocations=2; imports=1. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_074,OK,26,196,0,0,3,3,4,0,0,2,9,2,1,Deterministic Python AST facts: parse=OK; executable_LOC=26; AST_nodes=196; functions=0; recursive_functions=0; loops=3; max_loop_nesting=3; if_branches=4; comprehensions=0; sort_operations=0; range_calls=2; calls_inside_loops=9; allocations=2; imports=1. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_075,OK,18,163,0,0,4,3,1,0,0,3,16,1,0,Deterministic Python AST facts: parse=OK; executable_LOC=18; AST_nodes=163; functions=0; recursive_functions=0; loops=4; max_loop_nesting=3; if_branches=1; comprehensions=0; sort_operations=0; range_calls=3; calls_inside_loops=16; allocations=1; imports=0. Structural facts only; no efficiency label or recommendation.
ADSO_TEST_076,OK,31,348,2,1,3,2,3,1,0,3,24,8,2,Deterministic Python AST facts: parse=OK; executable_LOC=31; AST_nodes=348; functions=2; recursive_functions=1; loops=3; max_loop_nesting=2; if_branches=3; comprehensions=1; sort_operations=0; range_calls=3; calls_inside_loops=24; allocations=8; imports=2. Structural facts only; no efficiency label or recommendation.
