Instance ID,Absolute Runtime ms,Memory KB,Test Files,Execution Pass,Token-Exact,Input Bytes Min,Input Bytes Median,Input Bytes Max,Neutral E3 Evidence Text
ADSO_TEST_011,27.14,5176,2,2/2,2/2,56,56,56,"Observed per-program execution evidence: absolute ACEOB runtime=27.14 ms; memory=5176 KB. Independent audit: 2/2 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=56..56 bytes (median 56.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_012,44.42,1492,10,10/10,10/10,4,13,62,"Observed per-program execution evidence: absolute ACEOB runtime=44.42 ms; memory=1492 KB. Independent audit: 10/10 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=4..62 bytes (median 13.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_013,21.13,8456,2,2/2,2/2,67,67,67,"Observed per-program execution evidence: absolute ACEOB runtime=21.13 ms; memory=8456 KB. Independent audit: 2/2 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=67..67 bytes (median 67.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_014,21.02,17220,2,2/2,2/2,86,86,86,"Observed per-program execution evidence: absolute ACEOB runtime=21.02 ms; memory=17220 KB. Independent audit: 2/2 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=86..86 bytes (median 86.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_015,20.43,52,5,5/5,5/5,11,19,86,"Observed per-program execution evidence: absolute ACEOB runtime=20.43 ms; memory=52 KB. Independent audit: 5/5 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=11..86 bytes (median 19). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_016,20.21,0,4,4/4,3/4,6,19,32,"Observed per-program execution evidence: absolute ACEOB runtime=20.21 ms; memory=0 KB. Independent audit: 4/4 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=6..32 bytes (median 19.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_017,20.57,0,12,12/12,12/12,5,138,138,"Observed per-program execution evidence: absolute ACEOB runtime=20.57 ms; memory=0 KB. Independent audit: 12/12 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=5..138 bytes (median 138.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_018,25.15,680,3,3/3,3/3,16,64,64,"Observed per-program execution evidence: absolute ACEOB runtime=25.15 ms; memory=680 KB. Independent audit: 3/3 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=16..64 bytes (median 64). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_019,21.91,468,2,2/2,2/2,74,74,74,"Observed per-program execution evidence: absolute ACEOB runtime=21.91 ms; memory=468 KB. Independent audit: 2/2 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=74..74 bytes (median 74.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_020,20.45,1896,13,13/13,13/13,10,13,67,"Observed per-program execution evidence: absolute ACEOB runtime=20.45 ms; memory=1896 KB. Independent audit: 13/13 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=10..67 bytes (median 13). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_021,23.23,444,5,5/5,5/5,8,94,104,"Observed per-program execution evidence: absolute ACEOB runtime=23.23 ms; memory=444 KB. Independent audit: 5/5 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=8..104 bytes (median 94). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_022,30.63,496,7,7/7,7/7,7,8,105,"Observed per-program execution evidence: absolute ACEOB runtime=30.63 ms; memory=496 KB. Independent audit: 7/7 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=7..105 bytes (median 8). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_023,20.55,9136,2,2/2,2/2,29,29,29,"Observed per-program execution evidence: absolute ACEOB runtime=20.55 ms; memory=9136 KB. Independent audit: 2/2 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=29..29 bytes (median 29.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_024,21.37,0,5,5/5,5/5,8,11,60,"Observed per-program execution evidence: absolute ACEOB runtime=21.37 ms; memory=0 KB. Independent audit: 5/5 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=8..60 bytes (median 11). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_025,20.2,0,4,4/4,4/4,16,94,304,"Observed per-program execution evidence: absolute ACEOB runtime=20.20 ms; memory=0 KB. Independent audit: 4/4 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=16..304 bytes (median 94.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_026,20.47,20008,2,2/2,2/2,64,64,64,"Observed per-program execution evidence: absolute ACEOB runtime=20.47 ms; memory=20008 KB. Independent audit: 2/2 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=64..64 bytes (median 64.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_027,20.67,10732,2,2/2,2/2,46,46,46,"Observed per-program execution evidence: absolute ACEOB runtime=20.67 ms; memory=10732 KB. Independent audit: 2/2 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=46..46 bytes (median 46.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_028,20.91,0,2,2/2,2/2,41,41,41,"Observed per-program execution evidence: absolute ACEOB runtime=20.91 ms; memory=0 KB. Independent audit: 2/2 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=41..41 bytes (median 41.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_029,20.89,0,3,3/3,3/3,8,119,119,"Observed per-program execution evidence: absolute ACEOB runtime=20.89 ms; memory=0 KB. Independent audit: 3/3 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=8..119 bytes (median 119). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_030,21.33,904,2,2/2,1/2,74,74,74,"Observed per-program execution evidence: absolute ACEOB runtime=21.33 ms; memory=904 KB. Independent audit: 2/2 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=74..74 bytes (median 74.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_031,20.47,7664,5,5/5,5/5,31,32,504,"Observed per-program execution evidence: absolute ACEOB runtime=20.47 ms; memory=7664 KB. Independent audit: 5/5 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=31..504 bytes (median 32). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_032,20.45,10276,2,2/2,2/2,118,118,118,"Observed per-program execution evidence: absolute ACEOB runtime=20.45 ms; memory=10276 KB. Independent audit: 2/2 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=118..118 bytes (median 118.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_033,21.5,0,35,35/35,35/35,10,11,283,"Observed per-program execution evidence: absolute ACEOB runtime=21.50 ms; memory=0 KB. Independent audit: 35/35 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=10..283 bytes (median 11). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_034,21.06,360,10,10/10,10/10,4,13,62,"Observed per-program execution evidence: absolute ACEOB runtime=21.06 ms; memory=360 KB. Independent audit: 10/10 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=4..62 bytes (median 13.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_035,68.07,8236,2,2/2,2/2,8,8,8,"Observed per-program execution evidence: absolute ACEOB runtime=68.07 ms; memory=8236 KB. Independent audit: 2/2 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=8..8 bytes (median 8.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_036,25.26,16736,10,10/10,10/10,78,117,439,"Observed per-program execution evidence: absolute ACEOB runtime=25.26 ms; memory=16736 KB. Independent audit: 10/10 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=78..439 bytes (median 117.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_037,21.61,0,5,5/5,5/5,8,11,60,"Observed per-program execution evidence: absolute ACEOB runtime=21.61 ms; memory=0 KB. Independent audit: 5/5 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=8..60 bytes (median 11). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_038,23.88,720,2,2/2,2/2,36,36,36,"Observed per-program execution evidence: absolute ACEOB runtime=23.88 ms; memory=720 KB. Independent audit: 2/2 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=36..36 bytes (median 36.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_039,20.54,0,2,2/2,2/2,11,11,11,"Observed per-program execution evidence: absolute ACEOB runtime=20.54 ms; memory=0 KB. Independent audit: 2/2 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=11..11 bytes (median 11.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_040,21.05,8432,3,3/3,3/3,89,89,98,"Observed per-program execution evidence: absolute ACEOB runtime=21.05 ms; memory=8432 KB. Independent audit: 3/3 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=89..98 bytes (median 89). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_041,20.66,1168,2,2/2,2/2,63,63,63,"Observed per-program execution evidence: absolute ACEOB runtime=20.66 ms; memory=1168 KB. Independent audit: 2/2 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=63..63 bytes (median 63.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_042,21.93,11148,2,2/2,2/2,127,127,127,"Observed per-program execution evidence: absolute ACEOB runtime=21.93 ms; memory=11148 KB. Independent audit: 2/2 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=127..127 bytes (median 127.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_043,20.62,0,2,2/2,1/2,39,39,39,"Observed per-program execution evidence: absolute ACEOB runtime=20.62 ms; memory=0 KB. Independent audit: 2/2 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=39..39 bytes (median 39.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_044,200.44,8320,17,17/17,17/17,4,7,18,"Observed per-program execution evidence: absolute ACEOB runtime=200.44 ms; memory=8320 KB. Independent audit: 17/17 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=4..18 bytes (median 7). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_045,31.43,3956,2,2/2,2/2,36,36,36,"Observed per-program execution evidence: absolute ACEOB runtime=31.43 ms; memory=3956 KB. Independent audit: 2/2 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=36..36 bytes (median 36.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_046,55.37,10624,2,2/2,0/2,12,12,12,"Observed per-program execution evidence: absolute ACEOB runtime=55.37 ms; memory=10624 KB. Independent audit: 2/2 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=12..12 bytes (median 12.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_047,25.23,10784,5,5/5,0/5,31,32,504,"Observed per-program execution evidence: absolute ACEOB runtime=25.23 ms; memory=10784 KB. Independent audit: 5/5 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=31..504 bytes (median 32). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_048,24.93,8816,3,3/3,3/3,85,85,236,"Observed per-program execution evidence: absolute ACEOB runtime=24.93 ms; memory=8816 KB. Independent audit: 3/3 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=85..236 bytes (median 85). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_049,20.25,0,2,2/2,1/2,52,52,52,"Observed per-program execution evidence: absolute ACEOB runtime=20.25 ms; memory=0 KB. Independent audit: 2/2 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=52..52 bytes (median 52.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_050,23.63,3340,2,2/2,2/2,36,36,36,"Observed per-program execution evidence: absolute ACEOB runtime=23.63 ms; memory=3340 KB. Independent audit: 2/2 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=36..36 bytes (median 36.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_051,23.59,416,4,4/4,4/4,16,94,304,"Observed per-program execution evidence: absolute ACEOB runtime=23.59 ms; memory=416 KB. Independent audit: 4/4 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=16..304 bytes (median 94.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_052,60.27,5968,2,2/2,2/2,74,74,74,"Observed per-program execution evidence: absolute ACEOB runtime=60.27 ms; memory=5968 KB. Independent audit: 2/2 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=74..74 bytes (median 74.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_053,41.27,1488,13,13/13,13/13,10,13,67,"Observed per-program execution evidence: absolute ACEOB runtime=41.27 ms; memory=1488 KB. Independent audit: 13/13 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=10..67 bytes (median 13). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_054,20.6,224,2,2/2,2/2,34,34,34,"Observed per-program execution evidence: absolute ACEOB runtime=20.60 ms; memory=224 KB. Independent audit: 2/2 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=34..34 bytes (median 34.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_055,20.66,13616,2,2/2,2/2,87,87,87,"Observed per-program execution evidence: absolute ACEOB runtime=20.66 ms; memory=13616 KB. Independent audit: 2/2 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=87..87 bytes (median 87.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_056,23.32,708,2,2/2,1/2,52,52,52,"Observed per-program execution evidence: absolute ACEOB runtime=23.32 ms; memory=708 KB. Independent audit: 2/2 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=52..52 bytes (median 52.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_057,97.63,1292,13,13/13,13/13,5,10,52,"Observed per-program execution evidence: absolute ACEOB runtime=97.63 ms; memory=1292 KB. Independent audit: 13/13 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=5..52 bytes (median 10). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_058,20.31,4692,2,2/2,2/2,8,8,8,"Observed per-program execution evidence: absolute ACEOB runtime=20.31 ms; memory=4692 KB. Independent audit: 2/2 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=8..8 bytes (median 8.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_059,25.77,1608,2,2/2,2/2,34,34,34,"Observed per-program execution evidence: absolute ACEOB runtime=25.77 ms; memory=1608 KB. Independent audit: 2/2 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=34..34 bytes (median 34.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_060,20.59,0,5,5/5,5/5,11,20,28,"Observed per-program execution evidence: absolute ACEOB runtime=20.59 ms; memory=0 KB. Independent audit: 5/5 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=11..28 bytes (median 20). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_061,24.11,648,4,4/4,3/4,6,19,32,"Observed per-program execution evidence: absolute ACEOB runtime=24.11 ms; memory=648 KB. Independent audit: 4/4 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=6..32 bytes (median 19.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_062,20.59,0,3,3/3,3/3,6,13,13,"Observed per-program execution evidence: absolute ACEOB runtime=20.59 ms; memory=0 KB. Independent audit: 3/3 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=6..13 bytes (median 13). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_063,20.92,1072,2,2/2,2/2,56,56,56,"Observed per-program execution evidence: absolute ACEOB runtime=20.92 ms; memory=1072 KB. Independent audit: 2/2 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=56..56 bytes (median 56.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_064,24.39,0,13,13/13,13/13,5,10,52,"Observed per-program execution evidence: absolute ACEOB runtime=24.39 ms; memory=0 KB. Independent audit: 13/13 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=5..52 bytes (median 10). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_065,21.54,8580,3,3/3,3/3,48,60,60,"Observed per-program execution evidence: absolute ACEOB runtime=21.54 ms; memory=8580 KB. Independent audit: 3/3 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=48..60 bytes (median 60). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_066,21.2,2100,3,3/3,3/3,85,85,236,"Observed per-program execution evidence: absolute ACEOB runtime=21.20 ms; memory=2100 KB. Independent audit: 3/3 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=85..236 bytes (median 85). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_067,20.88,8920,3,3/3,3/3,48,60,60,"Observed per-program execution evidence: absolute ACEOB runtime=20.88 ms; memory=8920 KB. Independent audit: 3/3 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=48..60 bytes (median 60). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_068,25.56,15560,2,2/2,2/2,36,36,36,"Observed per-program execution evidence: absolute ACEOB runtime=25.56 ms; memory=15560 KB. Independent audit: 2/2 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=36..36 bytes (median 36.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_069,22.08,19252,2,2/2,2/2,156,156,156,"Observed per-program execution evidence: absolute ACEOB runtime=22.08 ms; memory=19252 KB. Independent audit: 2/2 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=156..156 bytes (median 156.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_070,20.68,34008,2,2/2,2/2,156,156,156,"Observed per-program execution evidence: absolute ACEOB runtime=20.68 ms; memory=34008 KB. Independent audit: 2/2 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=156..156 bytes (median 156.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_071,20.61,3748,2,2/2,2/2,127,127,127,"Observed per-program execution evidence: absolute ACEOB runtime=20.61 ms; memory=3748 KB. Independent audit: 2/2 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=127..127 bytes (median 127.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_072,20.43,0,4,4/4,3/4,8,12,113,"Observed per-program execution evidence: absolute ACEOB runtime=20.43 ms; memory=0 KB. Independent audit: 4/4 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=8..113 bytes (median 12.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_073,26.35,1356,35,35/35,35/35,10,11,283,"Observed per-program execution evidence: absolute ACEOB runtime=26.35 ms; memory=1356 KB. Independent audit: 35/35 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=10..283 bytes (median 11). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_074,23.06,12680,3,3/3,3/3,26,34,34,"Observed per-program execution evidence: absolute ACEOB runtime=23.06 ms; memory=12680 KB. Independent audit: 3/3 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=26..34 bytes (median 34). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_075,27.3,0,5,5/5,5/5,24,34,44,"Observed per-program execution evidence: absolute ACEOB runtime=27.30 ms; memory=0 KB. Independent audit: 5/5 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=24..44 bytes (median 34). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_076,28.1,243964,2,2/2,2/2,158,158,158,"Observed per-program execution evidence: absolute ACEOB runtime=28.10 ms; memory=243964 KB. Independent audit: 2/2 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=158..158 bytes (median 158.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_077,25.98,13936,3,3/3,3/3,26,34,34,"Observed per-program execution evidence: absolute ACEOB runtime=25.98 ms; memory=13936 KB. Independent audit: 3/3 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=26..34 bytes (median 34). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_078,21.32,0,2,2/2,2/2,40,40,40,"Observed per-program execution evidence: absolute ACEOB runtime=21.32 ms; memory=0 KB. Independent audit: 2/2 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=40..40 bytes (median 40.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_079,82.03,4796,17,17/17,17/17,4,5,18,"Observed per-program execution evidence: absolute ACEOB runtime=82.03 ms; memory=4796 KB. Independent audit: 17/17 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=4..18 bytes (median 5). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_080,20.61,0,5,5/5,5/5,8,94,104,"Observed per-program execution evidence: absolute ACEOB runtime=20.61 ms; memory=0 KB. Independent audit: 5/5 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=8..104 bytes (median 94). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_081,22.1,17604,2,2/2,2/2,86,86,86,"Observed per-program execution evidence: absolute ACEOB runtime=22.10 ms; memory=17604 KB. Independent audit: 2/2 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=86..86 bytes (median 86.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_082,20.62,0,7,7/7,7/7,7,8,105,"Observed per-program execution evidence: absolute ACEOB runtime=20.62 ms; memory=0 KB. Independent audit: 7/7 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=7..105 bytes (median 8). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_083,23.58,13972,14,14/14,13/14,20,26,56,"Observed per-program execution evidence: absolute ACEOB runtime=23.58 ms; memory=13972 KB. Independent audit: 14/14 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=20..56 bytes (median 26.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
