Instance ID,ACEOB Problem,Pair,Title,Hidden Role,Final Label,Strength,Reason,Runtime ms,Memory KB,Execution Pass,Token-Exact,URL
ADSO_TEST_020,221,017,Playing with GCD,Efficient,PRESERVE,A,GCD-based local check replaces repeated prime factorization/preprocessing.,20.45,1896,13/13,13/13,https://codeforces.com/problemset/problem/1736/B
ADSO_TEST_021,154,013,Ela Sorting Books,Inefficient,OPTIMIZE,A,Frequency/count processing avoids O(n log n) full-string sorting.,23.23,444,5/5,5/5,https://codeforces.com/problemset/problem/1737/A
ADSO_TEST_022,014,002,Print a Pedestal (Codeforces logo?),Inefficient,OPTIMIZE,A,Closed-form construction replaces iterative adjustment.,30.63,496,7/7,7/7,https://codeforces.com/problemset/problem/1690/A
ADSO_TEST_023,220,013,Minimum Notation,Efficient,PRESERVE,A,Greedy/counting approach avoids repeated ordered insertion and O(n²) list movement.,20.55,9136,2/2,2/2,https://codeforces.com/problemset/problem/1730/C
ADSO_TEST_024,056,046,Another String Minimization Problem,Efficient,PRESERVE,A,"Mutable list updates avoid rebuilding the length-n string by slicing on each update, O(mn) worst case.",21.37,0,5/5,5/5,https://codeforces.com/problemset/problem/1706/A
ADSO_TEST_025,026,006,Decode String,Efficient,PRESERVE,A,Reverse accumulation avoids repeated front-prepending and superlinear string copying.,20.2,0,4/4,4/4,https://codeforces.com/problemset/problem/1729/B
ADSO_TEST_026,212,011,Divisibility by 2^n,Efficient,PRESERVE,B,Avoids fixed full-range precomputation and unnecessary auxiliary storage; strong runtime/memory separation.,20.47,20008,2/2,2/2,https://codeforces.com/problemset/problem/1744/D
ADSO_TEST_027,053,050,Two Groups,Inefficient,OPTIMIZE,A,Direct absolute-sum solution is O(n); counterpart sorts and repeatedly recomputes list sums.,20.67,10732,2/2,2/2,https://codeforces.com/problemset/problem/1747/A
ADSO_TEST_028,012,028,Atilla's Favorite Problem,Inefficient,OPTIMIZE,A,"Linear maximum-character scan replaces sorting all characters, O(n log n).",20.91,0,2/2,2/2,https://codeforces.com/problemset/problem/1760/B
ADSO_TEST_029,325,000,Chopping Carrots (Easy Version),Efficient,PRESERVE,B,Restricts candidate range instead of repeatedly scanning through the global maximum.,20.89,0,3/3,3/3,https://codeforces.com/problemset/problem/1706/D1
ADSO_TEST_030,120,016,Doremy's Paint,Efficient,PRESERVE,B,Avoids parsing/storing list contents irrelevant to the decision; substantial auxiliary-memory/runtime reduction.,21.33,904,2/2,1/2,https://codeforces.com/problemset/problem/1764/A
ADSO_TEST_031,160,034,Shoe Shuffling,Efficient,PRESERVE,B,Direct index construction avoids repeated output-string concatenation/group rebuilding.,20.47,7664,5/5,5/5,https://codeforces.com/problemset/problem/1691/B
ADSO_TEST_032,248,005,Cake Assembly Line,Efficient,PRESERVE,A,"Single-pass interval adjustment replaces repeated revalidation/shifting of prior items, O(n²) worst case.",20.45,10276,2/2,2/2,https://codeforces.com/problemset/problem/1786/B
ADSO_TEST_033,137,024,Burenka Plays with Fractions,Efficient,PRESERVE,B,Uses direct integer conditions instead of repeated Fraction normalization/gcd-heavy rational arithmetic.,21.5,0,35/35,35/35,https://codeforces.com/problemset/problem/1720/A
ADSO_TEST_034,334,006,Very Suspicious,Efficient,PRESERVE,A,Closed-form arithmetic replaces iterative sequence precomputation.,21.06,360,10/10,10/10,https://codeforces.com/problemset/problem/1670/D
ADSO_TEST_035,215,015,Build Permutation,Inefficient,OPTIMIZE,A,Direct construction avoids repeated list slicing/copying.,68.07,8236,2/2,2/2,https://codeforces.com/problemset/problem/1713/C
ADSO_TEST_036,255,025,2^Sort,Inefficient,OPTIMIZE,B,Streaming streak counter avoids materialized boolean/run arrays and post-processing.,25.26,16736,10/10,10/10,https://codeforces.com/problemset/problem/1692/G
ADSO_TEST_037,056,046,Another String Minimization Problem,Inefficient,OPTIMIZE,A,"Mutable list updates avoid rebuilding the length-n string by slicing on each update, O(mn) worst case.",21.61,0,5/5,5/5,https://codeforces.com/problemset/problem/1706/A
ADSO_TEST_038,241,012,Jatayu's Balanced Bracket Sequence,Efficient,PRESERVE,A,Single-pass bracket counting replaces mapping/decomposition work with potentially superlinear traversal.,23.88,720,2/2,2/2,https://codeforces.com/problemset/problem/1726/C
ADSO_TEST_039,175,000,Minimum LCM,Efficient,PRESERVE,A,Direct divisor reasoning replaces expensive prime-table construction/search.,20.54,0,2/2,2/2,https://codeforces.com/problemset/problem/1765/M
ADSO_TEST_040,119,000,Prof. Slim,Inefficient,OPTIMIZE,A,"Linear sign-count/order check replaces sorting subgroups, O(n log n).",21.05,8432,3/3,3/3,https://codeforces.com/problemset/problem/1670/A
ADSO_TEST_041,114,004,Rebellion,Efficient,PRESERVE,A,"Direct counting avoids sorting, reducing O(n log n) to O(n).",20.66,1168,2/2,2/2,https://codeforces.com/problemset/problem/1746/B
ADSO_TEST_042,210,026,Binary Deque,Inefficient,OPTIMIZE,A,Sliding-window solution uses O(1) auxiliary state instead of O(n) left/right helper arrays.,21.93,11148,2/2,2/2,https://codeforces.com/problemset/problem/1692/E
ADSO_TEST_043,060,011,SSeeeeiinngg DDoouubbllee,Efficient,PRESERVE,A,Reverse-slice plus concatenation is linear; repeated immutable-string += construction can incur quadratic copying.,20.62,0,2/2,1/2,https://codeforces.com/problemset/problem/1758/A
ADSO_TEST_044,082,011,Extremely Round,Inefficient,OPTIMIZE,A,"Direct digit formula replaces exhaustive precomputation up to 1,000,000.",200.44,8320,17/17,17/17,https://codeforces.com/problemset/problem/1766/A
ADSO_TEST_045,372,002,Wish I Knew How to Sort,Inefficient,OPTIMIZE,B,Uses direct modular/integer arithmetic instead of repeated exact Fraction/rational operations; reproducible runtime separation.,31.43,3956,2/2,2/2,https://codeforces.com/problemset/problem/1753/C
ADSO_TEST_046,051,030,Funny Permutation,Inefficient,OPTIMIZE,B,Direct construction avoids a fixed 200k-element string table and slicing.,55.37,10624,2/2,0/2,https://codeforces.com/problemset/problem/1741/B
ADSO_TEST_047,160,034,Shoe Shuffling,Inefficient,OPTIMIZE,B,Direct index construction avoids repeated output-string concatenation/group rebuilding.,25.23,10784,5/5,0/5,https://codeforces.com/problemset/problem/1691/B
ADSO_TEST_048,272,006,Phase Shift,Inefficient,OPTIMIZE,A,Linear alphabet-mapping approach replaces repeated prefix slicing/index searches that can become quadratic.,24.93,8816,3/3,3/3,https://codeforces.com/problemset/problem/1735/C
ADSO_TEST_049,034,013,XOR Mixup,Efficient,PRESERVE,A,"Single XOR accumulation is O(n); counterpart repeatedly recomputes XOR over a shrinking deque, O(n²).",20.25,0,2/2,1/2,https://codeforces.com/problemset/problem/1698/A
ADSO_TEST_050,372,002,Wish I Knew How to Sort,Efficient,PRESERVE,B,Uses direct modular/integer arithmetic instead of repeated exact Fraction/rational operations; reproducible runtime separation.,23.63,3340,2/2,2/2,https://codeforces.com/problemset/problem/1753/C
ADSO_TEST_051,026,006,Decode String,Inefficient,OPTIMIZE,A,Reverse accumulation avoids repeated front-prepending and superlinear string copying.,23.59,416,4/4,4/4,https://codeforces.com/problemset/problem/1729/B
ADSO_TEST_052,276,000,Binary Strings are Fun,Inefficient,OPTIMIZE,B,Incremental contribution avoids full 200k power-table precomputation.,60.27,5968,2/2,2/2,https://codeforces.com/problemset/problem/1762/C
ADSO_TEST_053,221,017,Playing with GCD,Inefficient,OPTIMIZE,A,GCD-based local check replaces repeated prime factorization/preprocessing.,41.27,1488,13/13,13/13,https://codeforces.com/problemset/problem/1736/B
ADSO_TEST_054,076,027,One and Two,Efficient,PRESERVE,A,Computes the answer with O(1) auxiliary state instead of storing an O(n) prefix/product array.,20.6,224,2/2,2/2,https://codeforces.com/problemset/problem/1788/A
ADSO_TEST_055,322,007,Fake Plastic Trees,Efficient,PRESERVE,A,Bottom-up tree aggregation avoids heavier tree-processing/data-structure work.,20.66,13616,2/2,2/2,https://codeforces.com/problemset/problem/1693/B
ADSO_TEST_056,034,013,XOR Mixup,Inefficient,OPTIMIZE,A,"Single XOR accumulation is O(n); counterpart repeatedly recomputes XOR over a shrinking deque, O(n²).",23.32,708,2/2,1/2,https://codeforces.com/problemset/problem/1698/A
ADSO_TEST_057,151,001,Emordnilap,Inefficient,OPTIMIZE,B,Modular accumulation avoids constructing enormous exact factorial integers before reduction.,97.63,1292,13/13,13/13,https://codeforces.com/problemset/problem/1777/B
ADSO_TEST_058,215,015,Build Permutation,Efficient,PRESERVE,A,Direct construction avoids repeated list slicing/copying.,20.31,4692,2/2,2/2,https://codeforces.com/problemset/problem/1713/C
ADSO_TEST_059,076,027,One and Two,Inefficient,OPTIMIZE,A,Computes the answer with O(1) auxiliary state instead of storing an O(n) prefix/product array.,25.77,1608,2/2,2/2,https://codeforces.com/problemset/problem/1788/A
ADSO_TEST_060,009,051,Increasing,Efficient,PRESERVE,A,Expected O(n) hash-set uniqueness check replaces O(n log n) sorting.,20.59,0,5/5,5/5,https://codeforces.com/problemset/problem/1742/B
ADSO_TEST_061,163,008,Different Differences,Inefficient,OPTIMIZE,A,"Maintains a running quantity in O(k) instead of repeatedly recomputing sum over a growing list, O(k²).",24.11,648,4/4,3/4,https://codeforces.com/problemset/problem/1772/C
ADSO_TEST_062,286,001,Card Game,Efficient,PRESERVE,B,Small bounded precomputation avoids a 100k modular factorial table and modular inverses.,20.59,0,3/3,3/3,https://codeforces.com/problemset/problem/1739/C
ADSO_TEST_063,238,006,White-Black Balanced Subtrees,Efficient,PRESERVE,B,Bottom-up numeric accumulation avoids object-heavy adjacency/dataclass recursion.,20.92,1072,2/2,2/2,https://codeforces.com/problemset/problem/1676/G
ADSO_TEST_064,151,001,Emordnilap,Efficient,PRESERVE,B,Modular accumulation avoids constructing enormous exact factorial integers before reduction.,24.39,0,13/13,13/13,https://codeforces.com/problemset/problem/1777/B
ADSO_TEST_065,085,014,Interesting Sum,Inefficient,OPTIMIZE,A,"Repeated min/max scans are O(n); counterpart sorts the whole array, O(n log n).",21.54,8580,3/3,3/3,https://codeforces.com/problemset/problem/1720/B
ADSO_TEST_066,272,006,Phase Shift,Efficient,PRESERVE,A,Linear alphabet-mapping approach replaces repeated prefix slicing/index searches that can become quadratic.,21.2,2100,3/3,3/3,https://codeforces.com/problemset/problem/1735/C
ADSO_TEST_067,085,014,Interesting Sum,Efficient,PRESERVE,A,"Repeated min/max scans are O(n); counterpart sorts the whole array, O(n log n).",20.88,8920,3/3,3/3,https://codeforces.com/problemset/problem/1720/B
ADSO_TEST_068,241,012,Jatayu's Balanced Bracket Sequence,Inefficient,OPTIMIZE,A,Single-pass bracket counting replaces mapping/decomposition work with potentially superlinear traversal.,25.56,15560,2/2,2/2,https://codeforces.com/problemset/problem/1726/C
ADSO_TEST_069,253,006,Digital Logarithm,Inefficient,OPTIMIZE,A,"Hash/count matching is expected O(n); counterpart sorts both arrays, O(n log n).",22.08,19252,2/2,2/2,https://codeforces.com/problemset/problem/1728/C
ADSO_TEST_070,253,006,Digital Logarithm,Efficient,PRESERVE,A,"Hash/count matching is expected O(n); counterpart sorts both arrays, O(n log n).",20.68,34008,2/2,2/2,https://codeforces.com/problemset/problem/1728/C
ADSO_TEST_071,210,026,Binary Deque,Efficient,PRESERVE,A,Sliding-window solution uses O(1) auxiliary state instead of O(n) left/right helper arrays.,20.61,3748,2/2,2/2,https://codeforces.com/problemset/problem/1692/E
ADSO_TEST_072,103,020,Factorise N+M,Efficient,PRESERVE,A,Direct mathematical construction replaces sieve/precomputation plus search.,20.43,0,4/4,3/4,https://codeforces.com/problemset/problem/1740/A
ADSO_TEST_073,137,024,Burenka Plays with Fractions,Inefficient,OPTIMIZE,B,Uses direct integer conditions instead of repeated Fraction normalization/gcd-heavy rational arithmetic.,26.35,1356,35/35,35/35,https://codeforces.com/problemset/problem/1720/A
ADSO_TEST_074,342,000,Lucky Permutation,Efficient,PRESERVE,A,"Linear cycle processing avoids sorting every discovered cycle list, eliminating O(n log n) worst-case work.",23.06,12680,3/3,3/3,https://codeforces.com/problemset/problem/1768/D
ADSO_TEST_075,064,000,Traveling Salesman Problem,Inefficient,OPTIMIZE,B,Direct extrema formula avoids scanning an entire fixed coordinate grid.,27.3,0,5/5,5/5,https://codeforces.com/problemset/problem/1713/A
ADSO_TEST_076,328,002,Path Prefixes,Inefficient,OPTIMIZE,B,Avoids a heavy undirected graph/recursive representation; very large auxiliary-memory separation.,28.1,243964,2/2,2/2,https://codeforces.com/problemset/problem/1714/G
ADSO_TEST_077,342,000,Lucky Permutation,Inefficient,OPTIMIZE,A,"Linear cycle processing avoids sorting every discovered cycle list, eliminating O(n log n) worst-case work.",25.98,13936,3/3,3/3,https://codeforces.com/problemset/problem/1768/D
ADSO_TEST_078,213,010,Double Sort,Efficient,PRESERVE,A,"Sort-and-pair approach is O(n log n), replacing nested matching/selection passes that are O(n²).",21.32,0,2/2,2/2,https://codeforces.com/problemset/problem/1681/C
ADSO_TEST_079,362,001,Madoka and The Corruption Scheme,Inefficient,OPTIMIZE,B,Incremental combination computation avoids full factorial/inverse tables.,82.03,4796,17/17,17/17,https://codeforces.com/problemset/problem/1717/D
ADSO_TEST_080,154,013,Ela Sorting Books,Efficient,PRESERVE,A,Frequency/count processing avoids O(n log n) full-string sorting.,20.61,0,5/5,5/5,https://codeforces.com/problemset/problem/1737/A
ADSO_TEST_081,204,007,GCD Partition,Inefficient,OPTIMIZE,A,Running-prefix method uses O(1) auxiliary state instead of a full O(n) prefix-sum array.,22.1,17604,2/2,2/2,https://codeforces.com/problemset/problem/1780/B
ADSO_TEST_082,014,002,Print a Pedestal (Codeforces logo?),Efficient,PRESERVE,A,Closed-form construction replaces iterative adjustment.,20.62,0,7/7,7/7,https://codeforces.com/problemset/problem/1690/A
ADSO_TEST_083,243,004,Permutation Operations,Efficient,PRESERVE,A,Direct inverse-position map is O(n); counterpart sorts tuples and repeatedly concatenates strings.,23.58,13972,14/14,13/14,https://codeforces.com/problemset/problem/1746/C
ADSO_TEST_084,328,002,Path Prefixes,Efficient,PRESERVE,B,Avoids a heavy undirected graph/recursive representation; very large auxiliary-memory separation.,23.46,64496,2/2,2/2,https://codeforces.com/problemset/problem/1714/G
ADSO_TEST_085,236,011,Masha and a Beautiful Tree,Efficient,PRESERVE,B,Iterative pair reduction avoids fixed global scratch storage and recursive merge machinery.,21.66,17588,4/4,4/4,https://codeforces.com/problemset/problem/1741/D
ADSO_TEST_086,307,009,Sending a Sequence Over the Network,Inefficient,OPTIMIZE,B,DP-state method avoids explicit global graph construction/traversal and substantial storage.,63.17,26292,5/5,5/5,https://codeforces.com/problemset/problem/1741/E
ADSO_TEST_087,179,024,Line,Efficient,PRESERVE,A,"Direct positional updates run in O(n), replacing heap-based O(n log n) processing.",21.11,1316,2/2,2/2,https://codeforces.com/problemset/problem/1722/D
ADSO_TEST_088,097,036,Mathematical Circus,Inefficient,OPTIMIZE,B,Direct adjacent-pair construction avoids visited-array bookkeeping and extra scanning.,63.81,9448,3/3,1/3,https://codeforces.com/problemset/problem/1719/B
ADSO_TEST_089,243,004,Permutation Operations,Inefficient,OPTIMIZE,A,Direct inverse-position map is O(n); counterpart sorts tuples and repeatedly concatenates strings.,25.22,17296,14/14,4/14,https://codeforces.com/problemset/problem/1746/C
ADSO_TEST_090,064,000,Traveling Salesman Problem,Efficient,PRESERVE,B,Direct extrema formula avoids scanning an entire fixed coordinate grid.,20.62,0,5/5,5/5,https://codeforces.com/problemset/problem/1713/A
ADSO_TEST_091,179,024,Line,Inefficient,OPTIMIZE,A,"Direct positional updates run in O(n), replacing heap-based O(n log n) processing.",26,7120,2/2,2/2,https://codeforces.com/problemset/problem/1722/D
ADSO_TEST_092,286,001,Card Game,Inefficient,OPTIMIZE,B,Small bounded precomputation avoids a 100k modular factorial table and modular inverses.,43.6,2508,3/3,3/3,https://codeforces.com/problemset/problem/1739/C
ADSO_TEST_093,189,004,Coprime,Inefficient,OPTIMIZE,A,Relevant-value pair checking avoids broad coprime precomputation; clear avoidable repeated work.,325.84,18608,17/17,17/17,https://codeforces.com/problemset/problem/1742/D
ADSO_TEST_094,141,013,Hossam and Combinatorics,Inefficient,OPTIMIZE,B,Direct min/max counting avoids filling/maintaining a fixed 200k helper array; strong runtime separation.,30.67,7204,4/4,4/4,https://codeforces.com/problemset/problem/1771/A
ADSO_TEST_095,098,033,Robots,Efficient,PRESERVE,A,Single matrix scan avoids collecting and sorting all R positions.,20.29,0,2/2,2/2,https://codeforces.com/problemset/problem/1680/B
ADSO_TEST_096,051,030,Funny Permutation,Efficient,PRESERVE,B,Direct construction avoids a fixed 200k-element string table and slicing.,20.45,0,2/2,0/2,https://codeforces.com/problemset/problem/1741/B
ADSO_TEST_097,103,020,Factorise N+M,Inefficient,OPTIMIZE,A,Direct mathematical construction replaces sieve/precomputation plus search.,48.01,1160,4/4,0/4,https://codeforces.com/problemset/problem/1740/A
ADSO_TEST_098,307,009,Sending a Sequence Over the Network,Efficient,PRESERVE,B,DP-state method avoids explicit global graph construction/traversal and substantial storage.,21.22,15328,5/5,5/5,https://codeforces.com/problemset/problem/1741/E
ADSO_TEST_099,175,000,Minimum LCM,Inefficient,OPTIMIZE,A,Direct divisor reasoning replaces expensive prime-table construction/search.,390.8,0,2/2,2/2,https://codeforces.com/problemset/problem/1765/M
ADSO_TEST_100,212,011,Divisibility by 2^n,Inefficient,OPTIMIZE,B,Avoids fixed full-range precomputation and unnecessary auxiliary storage; strong runtime/memory separation.,86.51,53528,2/2,2/2,https://codeforces.com/problemset/problem/1744/D
ADSO_TEST_101,097,036,Mathematical Circus,Efficient,PRESERVE,B,Direct adjacent-pair construction avoids visited-array bookkeeping and extra scanning.,20.71,8660,3/3,1/3,https://codeforces.com/problemset/problem/1719/B
ADSO_TEST_102,283,000,Smaller,Inefficient,OPTIMIZE,A,Processes queries online with O(1) state instead of storing all O(q) query records.,23.25,12068,18/18,18/18,https://codeforces.com/problemset/problem/1742/F
ADSO_TEST_103,220,013,Minimum Notation,Inefficient,OPTIMIZE,A,Greedy/counting approach avoids repeated ordered insertion and O(n²) list movement.,26.22,1684,2/2,2/2,https://codeforces.com/problemset/problem/1730/C
ADSO_TEST_104,120,016,Doremy's Paint,Inefficient,OPTIMIZE,B,Avoids parsing/storing list contents irrelevant to the decision; substantial auxiliary-memory/runtime reduction.,26.87,7776,2/2,1/2,https://codeforces.com/problemset/problem/1764/A
ADSO_TEST_105,362,001,Madoka and The Corruption Scheme,Efficient,PRESERVE,B,Incremental combination computation avoids full factorial/inverse tables.,29.4,0,17/17,17/17,https://codeforces.com/problemset/problem/1717/D
ADSO_TEST_106,009,051,Increasing,Inefficient,OPTIMIZE,A,Expected O(n) hash-set uniqueness check replaces O(n log n) sorting.,42.05,2300,5/5,5/5,https://codeforces.com/problemset/problem/1742/B
ADSO_TEST_107,060,011,SSeeeeiinngg DDoouubbllee,Inefficient,OPTIMIZE,A,Reverse-slice plus concatenation is linear; repeated immutable-string += construction can incur quadratic copying.,21.78,0,2/2,1/2,https://codeforces.com/problemset/problem/1758/A
ADSO_TEST_108,114,004,Rebellion,Inefficient,OPTIMIZE,A,"Direct counting avoids sorting, reducing O(n log n) to O(n).",24.86,3976,2/2,2/2,https://codeforces.com/problemset/problem/1746/B
ADSO_TEST_109,256,002,awoo's Favorite Problem,Efficient,PRESERVE,A,"Single linear scan replaces repeated substring searches, slicing, and string rebuilding, O(n²) worst case.",20.69,484,2/2,2/2,https://codeforces.com/problemset/problem/1697/C
ADSO_TEST_110,082,011,Extremely Round,Efficient,PRESERVE,A,"Direct digit formula replaces exhaustive precomputation up to 1,000,000.",20.62,0,17/17,17/17,https://codeforces.com/problemset/problem/1766/A
ADSO_TEST_111,251,008,Schedule Management,Efficient,PRESERVE,A,Builds worker counts once instead of replaying all m assignments inside each binary-search step.,20.55,11580,2/2,2/2,https://codeforces.com/problemset/problem/1701/C
ADSO_TEST_112,255,025,2^Sort,Efficient,PRESERVE,B,Streaming streak counter avoids materialized boolean/run arrays and post-processing.,20.67,17856,10/10,10/10,https://codeforces.com/problemset/problem/1692/G
ADSO_TEST_113,119,000,Prof. Slim,Efficient,PRESERVE,A,"Linear sign-count/order check replaces sorting subgroups, O(n log n).",20.89,7820,3/3,3/3,https://codeforces.com/problemset/problem/1670/A
ADSO_TEST_114,012,028,Atilla's Favorite Problem,Efficient,PRESERVE,A,"Linear maximum-character scan replaces sorting all characters, O(n log n).",20.17,0,2/2,2/2,https://codeforces.com/problemset/problem/1760/B
ADSO_TEST_115,268,007,Hossam and Friends,Efficient,PRESERVE,A,Linear boundary tracking replaces set-intersection window maintenance with very large storage.,49.59,8888,4/4,4/4,https://codeforces.com/problemset/problem/1771/B
ADSO_TEST_116,251,008,Schedule Management,Inefficient,OPTIMIZE,A,Builds worker counts once instead of replaying all m assignments inside each binary-search step.,22,20828,2/2,2/2,https://codeforces.com/problemset/problem/1701/C
ADSO_TEST_117,322,007,Fake Plastic Trees,Inefficient,OPTIMIZE,A,Bottom-up tree aggregation avoids heavier tree-processing/data-structure work.,68.22,22032,2/2,2/2,https://codeforces.com/problemset/problem/1693/B
ADSO_TEST_118,213,010,Double Sort,Inefficient,OPTIMIZE,A,"Sort-and-pair approach is O(n log n), replacing nested matching/selection passes that are O(n²).",22.46,0,2/2,2/2,https://codeforces.com/problemset/problem/1681/C
ADSO_TEST_119,006,008,Equal Candies,Inefficient,OPTIMIZE,A,Uses min/sum in O(n) instead of sorting O(n log n).,23.85,692,5/5,5/5,https://codeforces.com/problemset/problem/1676/B
ADSO_TEST_120,141,013,Hossam and Combinatorics,Efficient,PRESERVE,B,Direct min/max counting avoids filling/maintaining a fixed 200k helper array; strong runtime separation.,20.57,7196,4/4,4/4,https://codeforces.com/problemset/problem/1771/A
